# regime-adapt train day sampling v1 | frozen 2026-08-09 | seed=42
# train=2004-01-02..2020-07-31 | labels=monthly_regime_3style.csv
# D downsample keep=1718/2771 (f_D=0.619993); target D/F/T=55/30/15; decay halflife=48m (M3 only)
date,weight
2008-06-27,0.48344333
2008-06-30,0.4841319
2008-07-01,0.48436165
2008-07-02,0.4845915
2008-07-03,0.48482146
2008-07-04,0.48505153
2008-07-07,0.4857424
2008-07-08,0.4859729
2008-07-09,0.48620352
2008-07-10,0.48643424
2008-07-11,0.48666508
2008-07-14,0.48735824
2008-07-15,0.48758952
2008-07-16,0.4878209
2008-07-17,0.48805239
2008-07-18,0.488284
2008-07-21,0.48897947
2008-07-22,0.48921151
2008-07-23,0.48944366
2008-07-24,0.48967593
2008-07-25,0.4899083
2008-07-28,0.49060608
2008-07-29,0.4908389
2008-07-30,0.49107183
2008-07-31,0.49130486
2008-08-01,0.32908172
2008-08-07,0.33001981
2008-08-11,0.3306467
2008-08-12,0.33080361
2008-08-14,0.33111764
2008-08-15,0.33127477
2008-08-18,0.33174661
2008-08-19,0.33190404
2008-08-21,0.33221912
2008-08-22,0.33237678
2008-08-25,0.33285019
2008-08-26,0.33300814
2008-08-29,0.33348245
2008-09-01,0.4988207
2008-09-02,0.49905741
2008-09-03,0.49929423
2008-09-04,0.49953117
2008-09-05,0.49976822
2008-09-08,0.50048005
2008-09-09,0.50071755
2008-09-10,0.50095516
2008-09-11,0.50119289
2008-09-12,0.50143073
2008-09-16,0.50238321
2008-09-17,0.50262162
2008-09-18,0.50286014
2008-09-19,0.50309877
2008-09-22,0.50381534
2008-09-23,0.50405442
2008-09-24,0.50429362
2008-09-25,0.50453293
2008-09-26,0.50477235
2008-10-06,0.50717285
2008-10-07,0.50741353
2008-10-08,0.50765432
2008-10-09,0.50789522
2008-10-10,0.50813624
2008-10-13,0.50885999
2008-10-14,0.50910146
2008-10-15,0.50934306
2008-10-16,0.50958476
2008-10-17,0.50982659
2008-10-20,0.51055274
2008-10-21,0.51079502
2008-10-22,0.51103741
2008-10-23,0.51127993
2008-10-24,0.51152255
2008-10-27,0.51225112
2008-10-28,0.51249421
2008-10-29,0.51273741
2008-10-30,0.51298073
2008-10-31,0.51322416
2008-11-03,0.51395515
2008-11-04,0.51419905
2008-11-05,0.51444306
2008-11-06,0.51468718
2008-11-07,0.51493143
2008-11-10,0.51566485
2008-11-11,0.51590956
2008-11-12,0.51615438
2008-11-13,0.51639932
2008-11-14,0.51664437
2008-11-17,0.51738024
2008-11-18,0.51762576
2008-11-19,0.5178714
2008-11-20,0.51811715
2008-11-21,0.51836302
2008-11-24,0.51910133
2008-11-25,0.51934767
2008-11-26,0.51959412
2008-11-27,0.51984069
2008-11-28,0.52008738
2008-12-01,0.52082815
2008-12-02,0.52107531
2008-12-03,0.52132258
2008-12-04,0.52156997
2008-12-05,0.52181748
2008-12-08,0.52256071
2008-12-09,0.52280869
2008-12-10,0.52305679
2008-12-11,0.523305
2008-12-12,0.52355334
2008-12-15,0.52429904
2008-12-16,0.52454784
2008-12-17,0.52479677
2008-12-18,0.52504581
2008-12-19,0.52529496
2008-12-22,0.52604315
2008-12-23,0.52629278
2008-12-24,0.52654253
2008-12-25,0.5267924
2008-12-26,0.52704239
2008-12-29,0.52779306
2008-12-30,0.52804352
2008-12-31,0.5282941
2009-01-05,0.52954879
2009-01-06,0.52980009
2009-01-07,0.5300515
2009-01-08,0.53030304
2009-01-09,0.53055469
2009-01-12,0.53131037
2009-01-13,0.5315625
2009-01-14,0.53181475
2009-01-15,0.53206712
2009-01-16,0.53231961
2009-01-19,0.5330778
2009-01-20,0.53333077
2009-01-21,0.53358386
2009-01-22,0.53383707
2009-01-23,0.5340904
2009-02-02,0.53663032
